0
Date
Cycle Indicator Global
Eurozone Retail Sales
Eurozone Industrial Production exconstr
Eurozone Industrial Production manuf
US Privately Owned Housing Starts
US HomeBuilders Market Index
US Real Personal Income
US Real Personal Income exTrans
US Indus Prod Index
Adv Retail Sales US exFood Services
US JoblessClaims Seasonally Adjusted
US U6 Unemp Rate
World EPS forecast 3M Change
US M1 Growth YOY
RealUS M1 Growth YOY
FED Excess Reserves
Fed Balance Sheet
ECB Balance Sheet
Real Yield US
US 10yr Rate
Germany 10yr Rate
EU 10Y 2Y Curve
US 10Y 2Y Curve
Fed Fwd 6 Month
Fed Fwd 12 Month
Chinese Oil Imports
Japanese Export China
Industrial Metal Prices
US Core CPI
Inflation Surprise Global
US Breakeven Inflation
US PCE YOY
 US Financial Conditions Index A
 US Financial Conditions Index B
 EU Financial Conditions Index A
 EU Financial Conditions Index B
US IG Spreads
US HY Spreads
EU IG Spreads
EU HY Spreads
US Credit Standards
Global Equity 3 Month Momentum
Global Equity 6 Month Momentum
Global Equity 12 Month Momentum
Vix Index
Commercial Paper Spread
V2x Index
Eonia Spread
Equity Risk Premia
Sentiment Macro Fundamentals Global News Social
Sentiment Consumer Sentiment Global News Social
Sentiment Economic Growth Global News Social
Sentiment Trade Balance Global News Social
Sentiment environmental composite GLOBAL News
Sentiment social composite GLOBAL News
Sentiment governance composite GLOBAL News
Sentiment governance composite GLOBAL News Social
Sentiment social composite GLOBAL News Social
Sentiment environmental composite GLOBAL News Social
idx_price
lag_1
lag_2
lag_3
lag_4
lag_5
lag_6
lag_7
lag_8
lag_9
lag_10
lag_11
lag_12
lag_13
lag_14
lag_15
