value,evaluation metrics
0.12216981132075475,max monthly gain
-0.2014598540145985,max monthly loss
0.6516990291262139,maximum drawdown
0.16446610737733974,annualized Sharpe Ratio
0.6739707058197263,average rolling 3years SR
